1.545,0.0
1.548,0.0
1.539,0.006
1.542,0.006
1.536,0.012
1.521,0.03
1.515,0.036
1.509,0.042
1.503,0.048
1.497,0.054
1.488,0.066
1.482,0.072
1.476,0.078
1.47,0.084
1.461,0.096
1.455,0.102
1.449,0.108
1.452,0.108
1.443,0.114
1.446,0.114
1.44,0.12
1.434,0.126
1.428,0.132
1.431,0.132
1.422,0.138
1.425,0.138
1.419,0.144
1.41,0.156
1.404,0.162
1.398,0.168
1.389,0.18
1.383,0.186
1.374,0.198
1.368,0.204
1.362,0.21
1.359,0.216
1.353,0.222
1.347,0.228
1.344,0.234
1.338,0.24
1.341,0.24
1.332,0.246
1.329,0.252
1.323,0.258
1.326,0.258
1.32,0.264
1.314,0.27
1.308,0.276
1.311,0.276
1.305,0.282
1.293,0.294
1.296,0.294
1.29,0.3
1.287,0.306
1.281,0.312
1.272,0.324
1.266,0.33
1.263,0.336
1.257,0.342
1.248,0.354
1.239,0.366
1.233,0.372
1.23,0.378
1.224,0.384
1.215,0.396
1.206,0.408
1.209,0.408
1.197,0.42
1.188,0.432
1.185,0.438
1.179,0.444
1.176,0.45
1.17,0.456
1.167,0.462
1.158,0.474
1.149,0.486
1.146,0.492
1.14,0.498
1.137,0.504
1.128,0.516
1.119,0.528
1.11,0.54
1.107,0.546
1.101,0.552
1.098,0.558
1.089,0.57
1.08,0.582
1.077,0.588
1.068,0.6
1.059,0.612
1.056,0.618
1.047,0.63
1.05,0.63
1.044,0.636
1.035,0.648
1.029,0.66
1.023,0.666
1.02,0.672
1.014,0.678
1.017,0.678
1.011,0.684
1.008,0.69
1.002,0.696
1.005,0.696
0.996,0.708
0.993,0.714
0.984,0.726
0.981,0.732
0.969,0.75
0.966,0.756
0.957,0.768
0.954,0.774
0.942,0.792
0.939,0.798
0.927,0.816
0.924,0.822
0.912,0.84
0.909,0.846
0.897,0.864
0.894,0.87
0.891,0.876
0.882,0.888
0.879,0.894
0.876,0.9
0.864,0.918
0.867,0.918
0.861,0.924
0.858,0.93
0.852,0.942
0.849,0.948
0.843,0.954
0.84,0.96
0.837,0.966
0.834,0.972
0.831,0.978
0.828,0.984
0.822,0.99
0.819,0.996
0.813,1.008
0.81,1.014
0.807,1.02
0.801,1.026
0.804,1.026
0.786,1.056
0.783,1.062
0.78,1.068
0.777,1.074
0.759,1.104
0.756,1.11
0.753,1.116
0.75,1.122
0.747,1.128
0.744,1.134
0.72,1.176
0.717,1.182
0.714,1.188
0.711,1.194
0.708,1.2
0.705,1.206
0.702,1.212
0.699,1.218
0.696,1.224
0.693,1.23
0.69,1.236
0.636,1.344
0.633,1.35
0.63,1.356
0.627,1.362
0.624,1.368
0.621,1.374
0.618,1.38
0.615,1.386
0.612,1.392
0.609,1.398
0.606,1.404
0.588,1.44
0.585,1.446
0.582,1.452
0.579,1.458
0.576,1.464
0.573,1.47
0.573,1.476
0.57,1.482
0.567,1.488
0.564,1.494
0.561,1.5
0.558,1.506
0.555,1.512
0.537,1.554
0.534,1.56
0.531,1.566
0.528,1.572
0.525,1.578
0.51,1.614
0.507,1.62
0.504,1.626
0.501,1.632
0.489,1.662
0.486,1.668
0.483,1.674
0.48,1.68
0.468,1.71
0.465,1.716
0.462,1.722
0.453,1.746
0.45,1.752
0.447,1.758
0.435,1.788
0.432,1.794
0.423,1.818
0.42,1.824
0.417,1.83
0.408,1.854
0.405,1.86
0.396,1.884
0.393,1.89
0.384,1.914
0.381,1.92
0.381,1.926
0.372,1.944
0.369,1.95
0.369,1.956
0.363,1.968
0.36,1.974
0.351,1.998
0.348,2.004
0.348,2.01
0.342,2.022
0.339,2.028
0.339,2.034
0.333,2.046
0.33,2.052
0.33,2.058
0.327,2.064
0.324,2.07
0.321,2.076
0.321,2.082
0.318,2.088
0.315,2.094
0.312,2.1
0.312,2.106
0.309,2.112
0.306,2.118
0.303,2.13
0.3,2.136
0.297,2.142
0.294,2.154
0.288,2.166
0.288,2.172
0.285,2.178
0.282,2.184
0.279,2.196
0.273,2.208
0.273,2.214
0.27,2.22
0.264,2.238
0.258,2.25
0.258,2.256
0.255,2.262
0.252,2.274
0.249,2.28
0.243,2.298
0.237,2.31
0.237,2.316
0.231,2.334
0.228,2.34
0.225,2.352
0.222,2.358
0.219,2.37
0.216,2.376
0.213,2.388
0.21,2.394
0.207,2.406
0.204,2.412
0.201,2.424
0.198,2.43
0.195,2.442
0.192,2.448
0.189,2.46
0.186,2.466
0.183,2.478
0.177,2.496
0.171,2.514
0.165,2.532
0.162,2.544
0.159,2.55
0.156,2.562
0.15,2.58
0.144,2.598
0.141,2.61
0.138,2.616
0.135,2.628
0.129,2.646
0.126,2.658
0.12,2.676
0.117,2.688
0.114,2.694
0.111,2.706
0.105,2.724
0.102,2.736
0.096,2.754
0.093,2.766
0.087,2.784
0.084,2.796
0.078,2.814
0.075,2.826
0.072,2.838
0.066,2.856
0.063,2.868
0.057,2.886
0.054,2.898
0.051,2.91
0.045,2.928
0.042,2.94
0.039,2.952
0.033,2.97
0.03,2.982
0.027,2.994
0.024,3.006
0.018,3.024
0.015,3.036
0.012,3.048
0.009,3.06
0.0,3.09
2.994,0.918
2.988,0.924
2.979,0.93
2.973,0.936
2.967,0.942
2.958,0.948
2.952,0.954
2.937,0.966
2.931,0.972
2.922,0.978
2.916,0.984
2.91,0.99
2.901,0.996
2.895,1.002
2.889,1.008
2.874,1.02
2.877,1.02
2.868,1.026
2.862,1.032
2.853,1.038
2.856,1.038
2.847,1.044
2.841,1.05
2.835,1.056
2.826,1.062
2.829,1.062
2.82,1.068
2.814,1.074
2.808,1.08
2.799,1.086
2.802,1.086
2.793,1.092
2.796,1.092
2.787,1.098
2.781,1.104
2.775,1.11
2.766,1.116
2.769,1.116
2.76,1.122
2.763,1.122
2.754,1.128
2.748,1.134
2.742,1.14
2.736,1.146
2.73,1.152
2.721,1.158
2.724,1.158
2.703,1.176
2.697,1.182
2.691,1.188
2.685,1.194
2.679,1.2
2.673,1.206
2.667,1.212
2.661,1.218
2.655,1.224
2.616,1.26
2.61,1.266
2.604,1.272
2.598,1.278
2.592,1.284
2.586,1.29
2.58,1.296
2.574,1.302
2.568,1.308
2.535,1.344
2.529,1.35
2.523,1.356
2.517,1.362
2.511,1.368
2.505,1.374
2.499,1.38
2.493,1.386
2.487,1.392
2.49,1.392
2.472,1.41
2.466,1.416
2.46,1.422
2.454,1.428
2.448,1.434
2.442,1.44
2.445,1.44
2.439,1.446
2.433,1.452
2.427,1.458
2.421,1.464
2.415,1.47
2.409,1.476
2.412,1.476
2.406,1.482
2.4,1.488
2.394,1.494
2.388,1.5
2.382,1.506
2.385,1.506
2.379,1.512
2.373,1.518
2.367,1.524
2.361,1.53
2.358,1.536
2.352,1.542
2.346,1.548
2.34,1.554
2.337,1.56
2.331,1.566
2.325,1.572
2.319,1.578
2.316,1.584
2.31,1.59
2.304,1.596
2.298,1.602
2.295,1.608
2.289,1.614
2.28,1.626
2.274,1.632
2.265,1.644
2.259,1.65
2.25,1.662
2.244,1.668
2.235,1.68
2.229,1.686
2.22,1.698
2.214,1.704
2.205,1.716
2.199,1.722
2.196,1.728
2.19,1.734
2.181,1.746
2.175,1.752
2.172,1.758
2.166,1.764
2.157,1.776
2.151,1.782
2.148,1.788
2.142,1.794
2.133,1.806
2.124,1.818
2.115,1.83
2.109,1.836
2.106,1.842
2.1,1.848
2.097,1.854
2.091,1.86
2.088,1.866
2.082,1.872
2.079,1.878
2.073,1.884
2.064,1.896
2.055,1.908
2.052,1.914
2.046,1.92
2.043,1.926
2.037,1.932
2.034,1.938
2.028,1.944
2.025,1.95
2.022,1.956
2.016,1.962
2.013,1.968
2.007,1.974
2.004,1.98
1.998,1.986
1.995,1.992
1.989,1.998
1.986,2.004
1.983,2.01
1.977,2.016
1.974,2.022
1.968,2.028
1.965,2.034
1.959,2.04
1.956,2.046
1.953,2.052
1.947,2.058
1.944,2.064
1.935,2.076
1.932,2.082
1.926,2.088
1.923,2.094
1.92,2.1
1.914,2.106
1.911,2.112
1.902,2.124
1.899,2.13
1.893,2.136
1.89,2.142
1.887,2.148
1.881,2.154
1.878,2.16
1.875,2.166
1.869,2.172
1.866,2.178
1.863,2.184
1.857,2.19
1.854,2.196
1.851,2.202
1.839,2.22
1.836,2.226
1.827,2.238
1.824,2.244
1.818,2.25
1.815,2.256
1.812,2.262
1.809,2.268
1.8,2.28
1.797,2.286
1.785,2.304
1.782,2.31
1.77,2.328
1.767,2.334
1.755,2.352
1.752,2.358
1.74,2.376
1.737,2.382
1.734,2.388
1.722,2.406
1.719,2.412
1.716,2.418
1.704,2.436
1.701,2.442
1.698,2.448
1.686,2.466
1.683,2.472
1.68,2.478
1.665,2.502
1.662,2.508
1.659,2.514
1.644,2.538
1.641,2.544
1.638,2.55
1.635,2.556
1.62,2.58
1.617,2.586
1.614,2.592
1.611,2.598
1.608,2.604
1.59,2.634
1.587,2.64
1.584,2.646
1.581,2.652
1.578,2.658
1.566,2.682
1.557,2.694
1.554,2.7
1.551,2.706
1.548,2.712
1.545,2.718
1.542,2.724
1.539,2.73
1.536,2.736
1.524,2.76
1.521,2.766
1.503,2.796
1.5,2.802
1.497,2.808
1.494,2.814
1.491,2.82
1.488,2.826
1.485,2.832
1.482,2.838
1.479,2.844
1.476,2.85
1.473,2.856
1.47,2.862
1.467,2.868
1.464,2.874
1.461,2.88
1.458,2.886
1.455,2.892
1.452,2.898
1.449,2.904
1.446,2.91
1.443,2.916
1.44,2.922
1.437,2.928
